,city_name,city_avg_wait,store_location,location_wait,load_time
0,Orange County,13,Cypress,5,2024-07-22 15:46
1,Orange County,13,Fountain Valley,10,2024-07-22 15:46
2,Orange County,13,Fullerton,30,2024-07-22 15:46
3,Orange County,13,Garden Grove,5,2024-07-22 15:46
4,Orange County,13,Huntington Beach,15,2024-07-22 15:46
5,Orange County,13,Irvine,15,2024-07-22 15:46
6,Orange County,13,La Habra,5,2024-07-22 15:46
7,Orange County,13,Laguna Marketplace,20,2024-07-22 15:46
8,Orange County,13,Laguna Niguel,20,2024-07-22 15:46
9,Orange County,13,San Juan Capistrano,5,2024-07-22 15:46
10,Orange County,13,Tustin,20,2024-07-22 15:46
11,Orange County,13,Tustin Ranch,15,2024-07-22 15:46
12,Orange County,13,Westminster Business Center,5,2024-07-22 15:46
13,Orange County,13,Yorba Linda,15,2024-07-22 15:46
14,Tampa Bay,16,Brandon,20,2024-07-22 15:46
15,Tampa Bay,16,W Tampa (Linebaugh Ave),20,2024-07-22 15:46
16,Tampa Bay,16,Clearwater,10,2024-07-22 15:46
17,Tampa Bay,16,Wesley Chapel,10,2024-07-22 15:46
18,Tampa Bay,16,Bradenton,30,2024-07-22 15:46
19,Tampa Bay,16,Sarasota Mall,5,2024-07-22 15:46
20,Detroit,17,Roseville,20,2024-07-22 15:46
21,Detroit,17,Madison Heights,10,2024-07-22 15:46
22,Detroit,17,Middlebelt,15,2024-07-22 15:46
23,Detroit,17,Haggerty,5,2024-07-22 15:46
24,Detroit,17,Lakeside,20,2024-07-22 15:46
25,Detroit,17,Bloomfield,30,2024-07-22 15:46
26,Detroit,17,Commerce Township,30,2024-07-22 15:46
27,Detroit,17,Auburn Hills,10,2024-07-22 15:46
28,Detroit,17,Ann Arbor,20,2024-07-22 15:46
29,Detroit,17,Brighton,10,2024-07-22 15:46
30,Portland,13,Tigard,10,2024-07-22 15:46
31,Portland,13,Clackamas,20,2024-07-22 15:46
32,Portland,13,Aloha,20,2024-07-22 15:46
33,Portland,13,Portland,1,2024-07-22 15:46
34,Portland,13,Vancouver WA,20,2024-07-22 15:46
35,Portland,13,E Vancouver WA,10,2024-07-22 15:46
36,Portland,13,Hillsboro,10,2024-07-22 15:46
37,Portland,13,Wilsonville,15,2024-07-22 15:46
38,Minneapolis,13,Minneapolis Business Center,5,2024-07-22 15:46
39,Minneapolis,13,St Louis Park,20,2024-07-22 15:46
40,Minneapolis,13,Eagan,10,2024-07-22 15:46
41,Minneapolis,13,Maple Grove,15,2024-07-22 15:46
42,Minneapolis,13,Eden Prairie,5,2024-07-22 15:46
43,Minneapolis,13,Maplewood,5,2024-07-22 15:46
44,Minneapolis,13,Woodbury,20,2024-07-22 15:46
45,Minneapolis,13,Coon Rapids,30,2024-07-22 15:46
46,Minneapolis,13,Burnsville,10,2024-07-22 15:46
47,Phoenix,15,Phoenix Business Center,5,2024-07-22 15:46
48,Phoenix,15,Phoenix (Montebello Ave),15,2024-07-22 15:46
49,Phoenix,15,Thomas Road (Arcadia Crossing),15,2024-07-22 15:46
50,Phoenix,15,Tempe,20,2024-07-22 15:46
51,Phoenix,15,Avondale,10,2024-07-22 15:46
52,Phoenix,15,Paradise Valley,15,2024-07-22 15:46
53,Phoenix,15,Gilbert (Arizona Ave),10,2024-07-22 15:46
54,Phoenix,15,Chandler,10,2024-07-22 15:46
55,Phoenix,15,N Phoenix (27th Ave),20,2024-07-22 15:46
56,Phoenix,15,Cave Creek,15,2024-07-22 15:46
57,Phoenix,15,Scottsdale,20,2024-07-22 15:46
58,Phoenix,15,Glendale,15,2024-07-22 15:46
59,Phoenix,15,SE Gilbert (Market St),20,2024-07-22 15:46
60,Phoenix,15,Mesa,20,2024-07-22 15:46
61,Atlanta,12,Brookhaven,5,2024-07-22 15:46
62,Atlanta,12,Cumberland Mall,5,2024-07-22 15:46
63,Atlanta,12,Perimeter,15,2024-07-22 15:46
64,Atlanta,12,Morrow Business Center,1,2024-07-22 15:46
65,Atlanta,12,Gwinnett,15,2024-07-22 15:46
66,Atlanta,12,Town Center,15,2024-07-22 15:46
67,Atlanta,12,Alpharetta,20,2024-07-22 15:46
68,Atlanta,12,Woodstock,15,2024-07-22 15:46
69,Atlanta,12,Sharpsburg,20,2024-07-22 15:46
70,Atlanta,12,Mall Of Georgia,5,2024-07-22 15:46
71,Atlanta,12,Cumming,20,2024-07-22 15:46
72,Denver,12,Denver Business Center,10,2024-07-22 15:46
73,Denver,12,Arvada,15,2024-07-22 15:46
74,Denver,12,Sheridan,15,2024-07-22 15:46
75,Denver,12,Aurora,5,2024-07-22 15:46
76,Denver,12,SW Denver (Quincy Ave),10,2024-07-22 15:46
77,Denver,12,Westminster,10,2024-07-22 15:46
78,Denver,12,Douglas County (Park Meadows),10,2024-07-22 15:46
79,Denver,12,Parker,15,2024-07-22 15:46
80,Denver,12,Thornton,20,2024-07-22 15:46
81,Denver,12,Superior,15,2024-07-22 15:46
82,Denver,12,Timnath,5,2024-07-22 15:46
83,Seattle,15,Seattle,20,2024-07-22 15:46
84,Seattle,15,Kirkland,5,2024-07-22 15:46
85,Seattle,15,Tukwila,10,2024-07-22 15:46
86,Seattle,15,Redmond,15,2024-07-22 15:46
87,Seattle,15,Aurora Village,15,2024-07-22 15:46
88,Seattle,15,Issaquah,10,2024-07-22 15:46
89,Seattle,15,Woodinville,60,2024-07-22 15:46
90,Seattle,15,Lynnwood Business Center,5,2024-07-22 15:46
91,Seattle,15,Lynnwood,10,2024-07-22 15:46
92,Seattle,15,Silverdale,5,2024-07-22 15:46
93,Seattle,15,Covington,5,2024-07-22 15:46
94,Seattle,15,Gig Harbor,20,2024-07-22 15:46
95,Seattle,15,Everett,20,2024-07-22 15:46
96,Seattle,15,Federal Way,20,2024-07-22 15:46
97,Seattle,15,Fife Business Center,5,2024-07-22 15:46
98,Seattle,15,Tacoma,15,2024-07-22 15:46
99,Seattle,15,Puyallup,20,2024-07-22 15:46
100,Seattle,15,Bonney Lake,5,2024-07-22 15:46
101,Seattle,15,Marysville,15,2024-07-22 15:46
102,Chicago,19,Chicago South Loop,5,2024-07-22 15:46
103,Chicago,19,Lincoln Park,15,2024-07-22 15:46
104,Chicago,19,North Riverside IL,5,2024-07-22 15:46
105,Chicago,19,Bedford Park Business Center,5,2024-07-22 15:46
106,Chicago,19,Melrose Park,120,2024-07-22 15:46
107,Chicago,19,Niles,15,2024-07-22 15:46
108,Chicago,19,Oak Brook,15,2024-07-22 15:46
109,Chicago,19,Glenview,20,2024-07-22 15:46
110,Chicago,19,Mt Prospect,20,2024-07-22 15:46
111,Chicago,19,Orland Park,5,2024-07-22 15:46
112,Chicago,19,Bolingbrook,10,2024-07-22 15:46
113,Chicago,19,Schaumburg,30,2024-07-22 15:46
114,Chicago,19,Bloomingdale,15,2024-07-22 15:46
115,Chicago,19,Mettawa,10,2024-07-22 15:46
116,Chicago,19,Lake Zurich,15,2024-07-22 15:46
117,Chicago,19,Naperville,5,2024-07-22 15:46
118,Chicago,19,Merrillville,10,2024-07-22 15:46
119,Chicago,19,St Charles,30,2024-07-22 15:46
120,Chicago,19,Lake In The Hills,15,2024-07-22 15:46
121,Houston,16,Cypress,20,2024-07-22 15:46
122,Houston,16,Galleria,10,2024-07-22 15:46
123,Houston,16,Bunker Hill,15,2024-07-22 15:46
124,Houston,16,Pearland,30,2024-07-22 15:46
125,Houston,16,Willowbrook,30,2024-07-22 15:46
126,Houston,16,Humble,5,2024-07-22 15:46
127,Houston,16,Sugar Land,10,2024-07-22 15:46
128,Houston,16,Webster,15,2024-07-22 15:46
129,Houston,16,W Katy,10,2024-07-22 15:46
130,Houston,16,Woodlands,10,2024-07-22 15:46
131,Miami,14,Miami,10,2024-07-22 15:46
132,Miami,14,N Miami,20,2024-07-22 15:46
133,Miami,14,Miami Lakes,15,2024-07-22 15:46
134,Miami,14,Kendall,10,2024-07-22 15:46
135,Miami,14,Pembroke Pines,20,2024-07-22 15:46
136,Miami,14,Davie,20,2024-07-22 15:46
137,Miami,14,Pompano,15,2024-07-22 15:46
138,Miami,14,Coral Springs,5,2024-07-22 15:46
139,Miami,14,Boca Raton,20,2024-07-22 15:46
140,Miami,14,Lantana,20,2024-07-22 15:46
