,city_name,city_avg_wait,store_location,location_wait
0,"Orange County, CA",13,Cypress,5
1,"Orange County, CA",13,Fountain Valley,1
2,"Orange County, CA",13,Fullerton,15
3,"Orange County, CA",13,Garden Grove,20
4,"Orange County, CA",13,Huntington Beach,20
5,"Orange County, CA",13,Irvine,15
6,"Orange County, CA",13,La Habra,20
7,"Orange County, CA",13,Laguna Marketplace,20
8,"Orange County, CA",13,Laguna Niguel,5
9,"Orange County, CA",13,San Juan Capistrano,15
10,"Orange County, CA",13,Tustin,5
11,"Orange County, CA",13,Tustin Ranch,15
12,"Orange County, CA",13,Westminster Business Center,5
13,"Orange County, CA",13,Yorba Linda,20
14,Tampa Bay,12,Brandon,15
15,Tampa Bay,12,W Tampa (Linebaugh Ave),15
16,Tampa Bay,12,Clearwater,10
17,Tampa Bay,12,Wesley Chapel,10
18,Tampa Bay,12,Bradenton,10
19,Tampa Bay,12,Sarasota Mall,10
20,Detroit,12,Roseville,15
21,Detroit,12,Madison Heights,10
22,Detroit,12,Middlebelt,5
23,Detroit,12,Haggerty,15
24,Detroit,12,Lakeside,20
25,Detroit,12,Bloomfield,10
26,Detroit,12,Commerce Township,5
27,Detroit,12,Auburn Hills,10
28,Detroit,12,Ann Arbor,10
29,Detroit,12,Brighton,15
30,Portland,14,Tigard,15
31,Portland,14,Clackamas,20
32,Portland,14,Aloha,5
33,Portland,14,Portland,5
34,Portland,14,Vancouver WA,20
35,Portland,14,E Vancouver WA,15
36,Portland,14,Hillsboro,15
37,Portland,14,Wilsonville,15
38,Minneapolis,19,Minneapolis Business Center,20
39,Minneapolis,19,St Louis Park,10
40,Minneapolis,19,Eagan,30
41,Minneapolis,19,Maple Grove,20
42,Minneapolis,19,Eden Prairie,30
43,Minneapolis,19,Maplewood,10
44,Minneapolis,19,Woodbury,20
45,Minneapolis,19,Coon Rapids,15
46,Minneapolis,19,Burnsville,20
47,Phoenix,13,Phoenix Business Center,15
48,Phoenix,13,Phoenix (Montebello Ave),5
49,Phoenix,13,Thomas Road (Arcadia Crossing),5
50,Phoenix,13,Tempe,15
51,Phoenix,13,Avondale,15
52,Phoenix,13,Paradise Valley,5
53,Phoenix,13,Gilbert (Arizona Ave),20
54,Phoenix,13,Chandler,15
55,Phoenix,13,N Phoenix (27th Ave),15
56,Phoenix,13,Cave Creek,20
57,Phoenix,13,Scottsdale,15
58,Phoenix,13,Glendale,10
59,Phoenix,13,SE Gilbert (Market St),15
60,Phoenix,13,Mesa,5
61,Atlanta,13,Brookhaven,15
62,Atlanta,13,Cumberland Mall,15
63,Atlanta,13,Perimeter,10
64,Atlanta,13,Morrow Business Center,10
65,Atlanta,13,Gwinnett,10
66,Atlanta,13,Town Center,15
67,Atlanta,13,Alpharetta,20
68,Atlanta,13,Woodstock,5
69,Atlanta,13,Sharpsburg,20
70,Atlanta,13,Mall Of Georgia,10
71,Atlanta,13,Cumming,15
72,Denver,10,Denver Business Center,15
73,Denver,10,Arvada,15
74,Denver,10,Sheridan,20
75,Denver,10,Aurora,5
76,Denver,10,SW Denver (Quincy Ave),10
77,Denver,10,Westminster,5
