,city_name,city_avg_wait,store_location,location_wait,load_time
0,Orange County,14,Cypress,10,2024-07-22 16:09
1,Orange County,14,Fountain Valley,20,2024-07-22 16:09
2,Orange County,14,Fullerton,15,2024-07-22 16:09
3,Orange County,14,Garden Grove,15,2024-07-22 16:09
4,Orange County,14,Huntington Beach,15,2024-07-22 16:09
5,Orange County,14,Irvine,20,2024-07-22 16:09
6,Orange County,14,La Habra,30,2024-07-22 16:09
7,Orange County,14,Laguna Marketplace,15,2024-07-22 16:09
8,Orange County,14,Laguna Niguel,5,2024-07-22 16:09
9,Orange County,14,San Juan Capistrano,15,2024-07-22 16:09
10,Orange County,14,Tustin,30,2024-07-22 16:09
11,Orange County,14,Tustin Ranch,1,2024-07-22 16:09
12,Orange County,14,Westminster Business Center,5,2024-07-22 16:09
13,Orange County,14,Yorba Linda,5,2024-07-22 16:09
14,Tampa Bay,9,Brandon,5,2024-07-22 16:09
15,Tampa Bay,9,W Tampa (Linebaugh Ave),10,2024-07-22 16:09
16,Tampa Bay,9,Clearwater,1,2024-07-22 16:09
17,Tampa Bay,9,Wesley Chapel,15,2024-07-22 16:09
18,Tampa Bay,9,Bradenton,10,2024-07-22 16:09
19,Tampa Bay,9,Sarasota Mall,10,2024-07-22 16:09
20,Detroit,10,Roseville,15,2024-07-22 16:09
21,Detroit,10,Madison Heights,1,2024-07-22 16:09
22,Detroit,10,Middlebelt,10,2024-07-22 16:09
23,Detroit,10,Haggerty,10,2024-07-22 16:09
24,Detroit,10,Lakeside,15,2024-07-22 16:09
25,Detroit,10,Bloomfield,5,2024-07-22 16:09
26,Detroit,10,Commerce Township,10,2024-07-22 16:09
27,Detroit,10,Auburn Hills,15,2024-07-22 16:09
28,Detroit,10,Ann Arbor,1,2024-07-22 16:09
29,Detroit,10,Brighton,20,2024-07-22 16:09
30,Portland,16,Tigard,15,2024-07-22 16:09
31,Portland,16,Clackamas,30,2024-07-22 16:09
32,Portland,16,Aloha,15,2024-07-22 16:09
33,Portland,16,Portland,15,2024-07-22 16:09
34,Portland,16,Vancouver WA,15,2024-07-22 16:09
35,Portland,16,E Vancouver WA,15,2024-07-22 16:09
36,Portland,16,Hillsboro,10,2024-07-22 16:09
37,Portland,16,Wilsonville,15,2024-07-22 16:09
38,Minneapolis,14,Minneapolis Business Center,10,2024-07-22 16:09
39,Minneapolis,14,St Louis Park,5,2024-07-22 16:09
40,Minneapolis,14,Eagan,20,2024-07-22 16:09
41,Minneapolis,14,Maple Grove,10,2024-07-22 16:09
42,Minneapolis,14,Eden Prairie,20,2024-07-22 16:09
43,Minneapolis,14,Maplewood,20,2024-07-22 16:09
44,Minneapolis,14,Woodbury,20,2024-07-22 16:09
45,Minneapolis,14,Coon Rapids,10,2024-07-22 16:09
46,Minneapolis,14,Burnsville,10,2024-07-22 16:09
47,Phoenix,11,Phoenix Business Center,10,2024-07-22 16:09
48,Phoenix,11,Phoenix (Montebello Ave),30,2024-07-22 16:09
49,Phoenix,11,Thomas Road (Arcadia Crossing),5,2024-07-22 16:09
50,Phoenix,11,Tempe,10,2024-07-22 16:09
51,Phoenix,11,Avondale,5,2024-07-22 16:09
52,Phoenix,11,Paradise Valley,5,2024-07-22 16:09
53,Phoenix,11,Gilbert (Arizona Ave),20,2024-07-22 16:09
54,Phoenix,11,Chandler,10,2024-07-22 16:09
55,Phoenix,11,N Phoenix (27th Ave),10,2024-07-22 16:09
56,Phoenix,11,Cave Creek,5,2024-07-22 16:09
57,Phoenix,11,Scottsdale,10,2024-07-22 16:09
58,Phoenix,11,Glendale,10,2024-07-22 16:09
59,Phoenix,11,SE Gilbert (Market St),5,2024-07-22 16:09
60,Phoenix,11,Mesa,15,2024-07-22 16:09
61,Atlanta,11,Brookhaven,5,2024-07-22 16:09
62,Atlanta,11,Cumberland Mall,1,2024-07-22 16:09
63,Atlanta,11,Perimeter,15,2024-07-22 16:09
64,Atlanta,11,Morrow Business Center,20,2024-07-22 16:09
65,Atlanta,11,Gwinnett,10,2024-07-22 16:09
66,Atlanta,11,Town Center,15,2024-07-22 16:09
67,Atlanta,11,Alpharetta,20,2024-07-22 16:09
68,Atlanta,11,Woodstock,5,2024-07-22 16:09
69,Atlanta,11,Sharpsburg,1,2024-07-22 16:09
70,Atlanta,11,Mall Of Georgia,15,2024-07-22 16:09
71,Atlanta,11,Cumming,15,2024-07-22 16:09
72,Denver,16,Denver Business Center,5,2024-07-22 16:09
73,Denver,16,Arvada,20,2024-07-22 16:09
74,Denver,16,Sheridan,5,2024-07-22 16:09
75,Denver,16,Aurora,60,2024-07-22 16:09
76,Denver,16,SW Denver (Quincy Ave),20,2024-07-22 16:09
77,Denver,16,Westminster,5,2024-07-22 16:09
78,Denver,16,Douglas County (Park Meadows),15,2024-07-22 16:09
79,Denver,16,Parker,10,2024-07-22 16:09
80,Denver,16,Thornton,5,2024-07-22 16:09
81,Denver,16,Superior,10,2024-07-22 16:09
82,Denver,16,Timnath,20,2024-07-22 16:09
83,Seattle,19,Seattle,5,2024-07-22 16:09
84,Seattle,19,Kirkland,15,2024-07-22 16:09
85,Seattle,19,Tukwila,5,2024-07-22 16:09
86,Seattle,19,Redmond,5,2024-07-22 16:09
87,Seattle,19,Aurora Village,20,2024-07-22 16:09
88,Seattle,19,Issaquah,15,2024-07-22 16:09
89,Seattle,19,Woodinville,20,2024-07-22 16:09
90,Seattle,19,Lynnwood Business Center,5,2024-07-22 16:09
91,Seattle,19,Lynnwood,15,2024-07-22 16:09
92,Seattle,19,Silverdale,15,2024-07-22 16:09
93,Seattle,19,Covington,5,2024-07-22 16:09
94,Seattle,19,Gig Harbor,30,2024-07-22 16:09
95,Seattle,19,Everett,10,2024-07-22 16:09
96,Seattle,19,Federal Way,15,2024-07-22 16:09
97,Seattle,19,Fife Business Center,10,2024-07-22 16:09
98,Seattle,19,Tacoma,120,2024-07-22 16:09
99,Seattle,19,Puyallup,20,2024-07-22 16:09
100,Seattle,19,Bonney Lake,15,2024-07-22 16:09
101,Seattle,19,Marysville,15,2024-07-22 16:09
102,Chicago,14,Chicago South Loop,20,2024-07-22 16:09
103,Chicago,14,Lincoln Park,5,2024-07-22 16:09
104,Chicago,14,North Riverside IL,15,2024-07-22 16:09
105,Chicago,14,Bedford Park Business Center,5,2024-07-22 16:09
106,Chicago,14,Melrose Park,10,2024-07-22 16:09
107,Chicago,14,Niles,20,2024-07-22 16:09
108,Chicago,14,Oak Brook,5,2024-07-22 16:09
109,Chicago,14,Glenview,20,2024-07-22 16:09
110,Chicago,14,Mt Prospect,15,2024-07-22 16:09
111,Chicago,14,Orland Park,20,2024-07-22 16:09
