,city_name,city_avg_wait,store_location,location_wait,load_time
0,Orange County,14,Cypress,15,2024-07-22 16:16
1,Orange County,14,Fountain Valley,10,2024-07-22 16:16
2,Orange County,14,Fullerton,15,2024-07-22 16:16
3,Orange County,14,Garden Grove,15,2024-07-22 16:16
4,Orange County,14,Huntington Beach,15,2024-07-22 16:16
5,Orange County,14,Irvine,20,2024-07-22 16:16
6,Orange County,14,La Habra,30,2024-07-22 16:16
7,Orange County,14,Laguna Marketplace,5,2024-07-22 16:16
8,Orange County,14,Laguna Niguel,5,2024-07-22 16:16
9,Orange County,14,San Juan Capistrano,15,2024-07-22 16:16
10,Orange County,14,Tustin,30,2024-07-22 16:16
11,Orange County,14,Tustin Ranch,1,2024-07-22 16:16
12,Orange County,14,Westminster Business Center,5,2024-07-22 16:16
13,Orange County,14,Yorba Linda,15,2024-07-22 16:16
14,Tampa Bay,10,Brandon,20,2024-07-22 16:16
15,Tampa Bay,10,W Tampa (Linebaugh Ave),5,2024-07-22 16:16
16,Tampa Bay,10,Clearwater,15,2024-07-22 16:16
17,Tampa Bay,10,Wesley Chapel,1,2024-07-22 16:16
18,Tampa Bay,10,Bradenton,1,2024-07-22 16:16
19,Tampa Bay,10,Sarasota Mall,15,2024-07-22 16:16
20,Detroit,11,Roseville,15,2024-07-22 16:16
21,Detroit,11,Madison Heights,15,2024-07-22 16:16
22,Detroit,11,Middlebelt,15,2024-07-22 16:16
23,Detroit,11,Haggerty,10,2024-07-22 16:16
24,Detroit,11,Lakeside,10,2024-07-22 16:16
25,Detroit,11,Bloomfield,20,2024-07-22 16:16
26,Detroit,11,Commerce Township,5,2024-07-22 16:16
27,Detroit,11,Auburn Hills,10,2024-07-22 16:16
28,Detroit,11,Ann Arbor,1,2024-07-22 16:16
29,Detroit,11,Brighton,10,2024-07-22 16:16
30,Portland,11,Tigard,10,2024-07-22 16:16
31,Portland,11,Clackamas,30,2024-07-22 16:16
32,Portland,11,Aloha,10,2024-07-22 16:16
33,Portland,11,Portland,5,2024-07-22 16:16
34,Portland,11,Vancouver WA,10,2024-07-22 16:16
35,Portland,11,E Vancouver WA,5,2024-07-22 16:16
36,Portland,11,Hillsboro,10,2024-07-22 16:16
37,Portland,11,Wilsonville,10,2024-07-22 16:16
38,Minneapolis,16,Minneapolis Business Center,20,2024-07-22 16:16
39,Minneapolis,16,St Louis Park,20,2024-07-22 16:16
40,Minneapolis,16,Eagan,10,2024-07-22 16:16
41,Minneapolis,16,Maple Grove,10,2024-07-22 16:16
42,Minneapolis,16,Eden Prairie,15,2024-07-22 16:16
43,Minneapolis,16,Maplewood,10,2024-07-22 16:16
44,Minneapolis,16,Woodbury,15,2024-07-22 16:16
45,Minneapolis,16,Coon Rapids,10,2024-07-22 16:16
46,Minneapolis,16,Burnsville,30,2024-07-22 16:16
47,Phoenix,14,Phoenix Business Center,10,2024-07-22 16:16
48,Phoenix,14,Phoenix (Montebello Ave),30,2024-07-22 16:16
49,Phoenix,14,Thomas Road (Arcadia Crossing),10,2024-07-22 16:16
50,Phoenix,14,Tempe,20,2024-07-22 16:16
51,Phoenix,14,Avondale,20,2024-07-22 16:16
52,Phoenix,14,Paradise Valley,10,2024-07-22 16:16
53,Phoenix,14,Gilbert (Arizona Ave),5,2024-07-22 16:16
54,Phoenix,14,Chandler,15,2024-07-22 16:16
55,Phoenix,14,N Phoenix (27th Ave),15,2024-07-22 16:16
56,Phoenix,14,Cave Creek,5,2024-07-22 16:16
57,Phoenix,14,Scottsdale,15,2024-07-22 16:16
58,Phoenix,14,Glendale,5,2024-07-22 16:16
59,Phoenix,14,SE Gilbert (Market St),20,2024-07-22 16:16
60,Phoenix,14,Mesa,20,2024-07-22 16:16
61,Atlanta,11,Brookhaven,5,2024-07-22 16:16
62,Atlanta,11,Cumberland Mall,20,2024-07-22 16:16
63,Atlanta,11,Perimeter,5,2024-07-22 16:16
64,Atlanta,11,Morrow Business Center,20,2024-07-22 16:16
65,Atlanta,11,Gwinnett,10,2024-07-22 16:16
66,Atlanta,11,Town Center,10,2024-07-22 16:16
67,Atlanta,11,Alpharetta,10,2024-07-22 16:16
68,Atlanta,11,Woodstock,15,2024-07-22 16:16
69,Atlanta,11,Sharpsburg,1,2024-07-22 16:16
70,Atlanta,11,Mall Of Georgia,15,2024-07-22 16:16
71,Atlanta,11,Cumming,15,2024-07-22 16:16
72,Denver,18,Denver Business Center,5,2024-07-22 16:16
73,Denver,18,Arvada,20,2024-07-22 16:16
