,city_name,city_avg_wait,store_location,location_wait,load_time
0,Orange County,Closed,Cypress,1,2024-07-23 09:19
1,Orange County,Closed,Fountain Valley,1,2024-07-23 09:19
2,Orange County,Closed,Fullerton,Closed,2024-07-23 09:19
3,Orange County,Closed,Garden Grove,1,2024-07-23 09:19
4,Orange County,Closed,Huntington Beach,Closed,2024-07-23 09:19
5,Orange County,Closed,Irvine,Closed,2024-07-23 09:19
6,Orange County,Closed,La Habra,Closed,2024-07-23 09:19
7,Orange County,Closed,Laguna Marketplace,Closed,2024-07-23 09:19
8,Orange County,Closed,Laguna Niguel,Closed,2024-07-23 09:19
9,Orange County,Closed,San Juan Capistrano,Closed,2024-07-23 09:19
10,Orange County,Closed,Tustin,Closed,2024-07-23 09:19
11,Orange County,Closed,Tustin Ranch,Closed,2024-07-23 09:19
12,Orange County,Closed,Westminster Business Center,Closed,2024-07-23 09:19
13,Orange County,Closed,Yorba Linda,Closed,2024-07-23 09:19
14,Tampa Bay,13,Brandon,15,2024-07-23 09:19
15,Tampa Bay,13,W Tampa (Linebaugh Ave),20,2024-07-23 09:19
16,Tampa Bay,13,Clearwater,5,2024-07-23 09:19
17,Tampa Bay,13,Wesley Chapel,5,2024-07-23 09:19
18,Tampa Bay,13,Bradenton,20,2024-07-23 09:19
19,Tampa Bay,13,Sarasota Mall,15,2024-07-23 09:19
20,Detroit,14,Roseville,15,2024-07-23 09:19
21,Detroit,14,Madison Heights,15,2024-07-23 09:19
22,Detroit,14,Middlebelt,15,2024-07-23 09:19
23,Detroit,14,Haggerty,15,2024-07-23 09:19
24,Detroit,14,Lakeside,15,2024-07-23 09:19
25,Detroit,14,Bloomfield,20,2024-07-23 09:19
26,Detroit,14,Commerce Township,5,2024-07-23 09:19
27,Detroit,14,Auburn Hills,10,2024-07-23 09:19
28,Detroit,14,Ann Arbor,5,2024-07-23 09:19
29,Detroit,14,Brighton,20,2024-07-23 09:19
30,Portland,Closed,Tigard,Closed,2024-07-23 09:19
31,Portland,Closed,Clackamas,Closed,2024-07-23 09:19
32,Portland,Closed,Aloha,Closed,2024-07-23 09:19
33,Portland,Closed,Portland,Closed,2024-07-23 09:19
34,Portland,Closed,Vancouver WA,Closed,2024-07-23 09:19
35,Portland,Closed,E Vancouver WA,Closed,2024-07-23 09:19
36,Portland,Closed,Hillsboro,Closed,2024-07-23 09:19
37,Portland,Closed,Wilsonville,Closed,2024-07-23 09:19
38,Minneapolis,12,Minneapolis Business Center,10,2024-07-23 09:19
39,Minneapolis,12,St Louis Park,1,2024-07-23 09:19
40,Minneapolis,12,Eagan,10,2024-07-23 09:19
41,Minneapolis,12,Maple Grove,10,2024-07-23 09:19
42,Minneapolis,12,Eden Prairie,20,2024-07-23 09:19
43,Minneapolis,12,Maplewood,20,2024-07-23 09:19
44,Minneapolis,12,Woodbury,15,2024-07-23 09:19
45,Minneapolis,12,Coon Rapids,15,2024-07-23 09:19
46,Minneapolis,12,Burnsville,10,2024-07-23 09:19
47,Phoenix,2,Phoenix Business Center,Closed,2024-07-23 09:19
48,Phoenix,2,Phoenix (Montebello Ave),Closed,2024-07-23 09:19
49,Phoenix,2,Thomas Road (Arcadia Crossing),5,2024-07-23 09:19
50,Phoenix,2,Tempe,Closed,2024-07-23 09:19
